filename,concept,k,column,notes,"understood(yes=1,no=0)","exists(yes=1,no=0)","clear(yes=1,vague=0)"
10579449_0_1681126353774891032.tar.gz,Newspaper,0,no idea,,0,0,0
10630177_0_4831842476649004753.tar.gz,Building,0,floors,"There are a couple of players in the building class, e.g. select ?s ?o2where{?s a <http://dbpedia.org/ontology/Building>.?s <http://dbpedia.org/ontology/number> ?o2}",1,1,1
10630177_0_4831842476649004753.tar.gz,Building,0,completion year,"There are a couple of video games and people rather than buildings  e.g. select ?s ?o2where{?s a <http://dbpedia.org/ontology/Building>.?s <http://dbpedia.org/property/released> ?o2}",1,1,1
11278409_0_3742771475298785475.tar.gz,Company,0,rank,,1,1,0
11278409_0_3742771475298785475.tar.gz,Company,0,total expense ratio ,,1,0,1
1146722_1_7558140036342906956.tar.gz,Mountain,0,ranking,,1,0,1
1146722_1_7558140036342906956.tar.gz,Mountain,4,elevation in m,,1,,
1146722_1_7558140036342906956.tar.gz,Mountain,0,elevation in ft,,1,1,1
11688006_0_8123036130090004213.tar.gz,Country,2,population,,1,,
11688006_0_8123036130090004213.tar.gz,Country,1,area sq. km,,1,,
11688006_0_8123036130090004213.tar.gz,Country,0,population density sq. km,,1,1,1
11688006_0_8123036130090004213.tar.gz,Country,1,area sq. mi,,1,,
11688006_0_8123036130090004213.tar.gz,Country,0,population density sq. mi,,1,0,1
11833461_1_3811022039809817402.tar.gz,VideoGame,0,Pan European Game Information,,1,0,1
12746760_0_6703465836620308483.tar.gz,PoliticalParty,0,funding,,1,0,1
12746760_0_6703465836620308483.tar.gz,PoliticalParty,0,funding,,1,0,1
12746760_0_6703465836620308483.tar.gz,PoliticalParty,0,funding,,1,0,1
13395751_3_369722706637560735.tar.gz,Lake,0,net area,"In wikipedia we only found two kinds of areas, catchment area and surface area for the given lakes",1,0,0
13395751_3_369722706637560735.tar.gz,Lake,0,total area,"In wikipedia we only found two kinds of areas, catchment area and surface area for the given lakes",1,0,0
13395751_3_369722706637560735.tar.gz,Lake,1,height,,1,,
14067031_0_559833072073397908.tar.gz,Country,0,no idea,,0,0,0
14067031_0_559833072073397908.tar.gz,Country,0,no idea,,0,0,0
14311244_0_7604843865524657408.tar.gz,Mountain,3,elevation,,1,,
14380604_4_3329235705746762392.tar.gz,Company,0,rank,,1,1,1
14380604_4_3329235705746762392.tar.gz,Company,0,revenue,,1,1,1
14380604_4_3329235705746762392.tar.gz,Company,0,profit,,1,1,1
14380604_4_3329235705746762392.tar.gz,Company,0,assets,,1,1,1
14380604_4_3329235705746762392.tar.gz,Company,0,market value,,1,0,1
15700884_0_8204220284166767221.tar.gz,Company,10,number of employees  ,,1,,
1614988_0_8789868670151796042.tar.gz,Scientist,0,age,,1,0,1
16767252_0_2409448375013995751.tar.gz,Film,0,fans' rank,,1,0,1
16767252_0_2409448375013995751.tar.gz,Film,1,release year,,1,,
16767252_0_2409448375013995751.tar.gz,Film,0,overall rank,,1,0,0
16949304_0_2573050770332101882.tar.gz,Hospital,0,hospital id,,1,0,0
19073331_0_2742992342272078110.tar.gz,PoliticalParty,1,"different in prediction and results. Classified as change. Looking at the objects in dbpedia, values look similar",,1,,
20135078_0_7570343137119682530.tar.gz,Film,0,fans' rank,,1,0,1
20135078_0_7570343137119682530.tar.gz,Film,1,yes,,1,,
20135078_0_7570343137119682530.tar.gz,Film,0,overall rank,,1,0,0
2066887_0_746204117268168398.tar.gz,Saint,4,death data,,1,,
21329809_0_5526008408364682899.tar.gz,City,0,"World rank, but no idea what is this",,0,0,0
21329809_0_5526008408364682899.tar.gz,City,3,city population   ,,1,,
21329809_0_5526008408364682899.tar.gz,City,2,population metro,,1,,
21333456_2_1886495893795687264.tar.gz,Scientist,0,age,,1,0,1
21337553_0_8832378999628437599.tar.gz,Mountain,3,altitude,,1,,
21362676_0_6854186738074119688.tar.gz,Film,0,Fans' rank,,1,0,1
21362676_0_6854186738074119688.tar.gz,Film,1,released,,1,,
21362676_0_6854186738074119688.tar.gz,Film,0,overall rank,,1,0,0
21801207_0_8144839668470123042.tar.gz,VideoGame,1,"no idea, but looks like a ranking",,1,,
21801207_0_8144839668470123042.tar.gz,VideoGame,1,"no idea, but looks like a ranking",,1,,
24036779_0_5608105867560183058.tar.gz,Country,1,area,,1,,
24036779_0_5608105867560183058.tar.gz,Country,2,population,,1,,
24142265_0_4577466141408796359.tar.gz,VideoGame,0,rank,,1,0,0
24142265_0_4577466141408796359.tar.gz,VideoGame,0,rank was,,1,0,0
24142265_0_4577466141408796359.tar.gz,VideoGame,0,rank peak,,1,0,0
24142265_0_4577466141408796359.tar.gz,VideoGame,0,days on chart,,1,0,0
24417511_0_3058323105166963431.tar.gz,BaseballPlayer,1,hall of fame year,,1,,
24850757_0_5978004733768297283.tar.gz,Country,1,population,,1,,
24850757_0_5978004733768297283.tar.gz,Country,0,no idea,,0,0,0
24850757_0_5978004733768297283.tar.gz,Country,0,population to member ratio,,1,0,1
25404227_0_2240631045609013057.tar.gz,Film,0,rank,,1,0,0
25404227_0_2240631045609013057.tar.gz,Film,1,release year,,1,,
25404227_0_2240631045609013057.tar.gz,Film,0,overall rank,,1,0,0
26270372_1_3774607938887520564.tar.gz,Monarch,5,years,,1,,
26270372_1_3774607938887520564.tar.gz,Monarch,0,no idea,,0,0,0
26310680_0_5150772059999313798.tar.gz,Currency,1,ios numeric code,,1,,
27466715_0_3913547177671701530.tar.gz,VideoGame,1,released,,1,,
28036255_0_5705563063166785494.tar.gz,Mountain,1,elevation,,1,,
28079336_1_3124145965038277571.tar.gz,Company,0,rank,,1,0,0
28079336_1_3124145965038277571.tar.gz,Company,0,sales in bil,,1,0,1
28079336_1_3124145965038277571.tar.gz,Company,0,profit in bil,,1,0,1
28079336_1_3124145965038277571.tar.gz,Company,0,assets in bil,,1,0,1
28079336_1_3124145965038277571.tar.gz,Company,0,market value in bil,,1,0,1
28079336_2_2139598421036200532.tar.gz,Company,0,number of employees how is laid off,,1,0,1
28154036_0_909001972154294543.tar.gz,PoliticalParty,1,number of seats,,1,,
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,total funding,,1,0,1
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,funding for  2001,,1,0,1
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,funding for  2002,,1,0,1
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,expenditure 2002,,1,0,1
28646774_0_3256889721737611537.tar.gz,PoliticalParty,0,funding forward to 2003,,1,0,1
28993628_1_6072768612274729703.tar.gz,Mountain,0,no idea,,0,0,0
28993628_1_6072768612274729703.tar.gz,Mountain,4,elevation,,1,,
29414811_12_251152470253168163.tar.gz,VideoGame,7,release ,,1,,
29414811_13_8724394428539174350.tar.gz,VideoGame,1,release date,,1,,
29414811_2_4773219892816395776.tar.gz,VideoGame,8,year ,,1,,
29414811_6_8221428333921653560.tar.gz,VideoGame,2,released,,1,,
29857217_0_961038783966485949.tar.gz,Newspaper,0,number of transactions,,1,0,1
29857217_0_961038783966485949.tar.gz,Newspaper,0,number of journalists,,1,0,1
29886325_0_1448173912684571475.tar.gz,City,0,world rank,,0,0,0
29886325_0_1448173912684571475.tar.gz,City,5,city population   ,,1,,
29886325_0_1448173912684571475.tar.gz,City,3,population metro,,1,,
30166286_0_1837439231599898748.tar.gz,Scientist,0,year of earning the nobel prize in physics,,1,0,1
32051842_5_1757891723986774036.tar.gz,Museum,0,"facebook fans, but it is classified as the number of visitors",,1,0,1
32460905_0_5195150472060854231.tar.gz,Hospital,0,hospital id,,1,0,0
32812626_0_5428724146873158593.tar.gz,Hospital,3,number of beds,,1,,
32812626_0_5428724146873158593.tar.gz,Hospital,0,total number of discharges,,1,0,1
32812626_0_5428724146873158593.tar.gz,Hospital,0,patient days,,1,0,1
33242247_1_7232384061498591611.tar.gz,Election,1,number of votes,,1,,
33242247_1_7232384061498591611.tar.gz,Election,4,numbe rof seats,,1,,
3389822_6_374624044314151266.tar.gz,Mountain,0,no idea what is that,,0,0,0
3389822_6_374624044314151266.tar.gz,Mountain,2,elevation,,1,,
34041816_1_4749054164534706977.tar.gz,Airport,5,number of passengers,,1,,
34899692_0_6530393048033763438.tar.gz,Country,0,rate of the bank (of the currency),,1,0,1
34899692_0_6530393048033763438.tar.gz,Country,0,selling rate (of the currency),,1,0,1
35188621_0_6058553107571275232.tar.gz,Film,0,Fans' rank,,1,0,1
35188621_0_6058553107571275232.tar.gz,Film,1,Release year,,1,,
35188621_0_6058553107571275232.tar.gz,Film,0,Overall rank,,1,0,0
36039980_4_4283009829602711082.tar.gz,Mountain,0,"no idea, could be the prominence as it almost matched one",,0,0,0
36039980_4_4283009829602711082.tar.gz,Mountain,4,height,,1,,
36102169_0_7739454799295072814.tar.gz,VideoGame,0,sold in mil,,1,0,1
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,0,rank,,1,0,0
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,0,years,Only 6 objects found while the minimum was 20,1,0,1
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,5,start year,,1,,
37541068_1_1156932518917623732.tar.gz,BaseballPlayer,2,end/final year,,1,,
37856682_0_6818907050314633217.tar.gz,AdministrativeRegion,0,area in square miles,exists only for square meters,1,0,1
38428277_0_1311643810102462607.tar.gz,Film,0,fans' rank,,1,0,1
38428277_0_1311643810102462607.tar.gz,Film,1,year,,1,,
38428277_0_1311643810102462607.tar.gz,Film,0,overall rank,,1,0,0
3887681_0_7938589465814037992.tar.gz,Lake,1,Building start year,,1,,
39107734_2_2329160387535788734.tar.gz,Airport,0,rank,,1,0,0
39107734_2_2329160387535788734.tar.gz,Airport,7,passengers,,1,,
39107734_2_2329160387535788734.tar.gz,Airport,0,rank change,,1,0,0
3917335_0_7791699395300625164.tar.gz,Country,5,area,,1,,
3917335_0_7791699395300625164.tar.gz,Country,2,population,,1,,
39173938_0_7916056990138658530.tar.gz,Film,0,rank,,1,0,0
39173938_0_7916056990138658530.tar.gz,Film,2,released,,1,,
39173938_0_7916056990138658530.tar.gz,Film,0,overall rank,,1,0,0
39606331_0_1646213676302448706.tar.gz,PoliticalParty,0,funding ,,1,0,1
39606331_0_1646213676302448706.tar.gz,PoliticalParty,0,funding ,,1,0,1
39606331_0_1646213676302448706.tar.gz,PoliticalParty,0,funding,,1,0,1
39650055_5_7135804139753401681.tar.gz,Company,0,company value in 2006,it is not clear what kind of value,1,0,0
39759273_0_1427898308030295194.tar.gz,Film,2,publication year,,1,,
39759273_0_1427898308030295194.tar.gz,Film,0,IMDB rating,,1,0,1
39759273_0_1427898308030295194.tar.gz,Film,1,IMDB votes,,1,,
40534006_0_4617468856744635526.tar.gz,Wrestler,0,number of reigns,,1,0,1
40534006_0_4617468856744635526.tar.gz,Wrestler,0,Jours combin?s no idea what that means,,1,0,0
40844462_1_6230938203735169234.tar.gz,Film,2,release date,"it is classified as years, but I'll consider that as correct",1,,
40844462_1_6230938203735169234.tar.gz,Film,0,"review year, but the year is represented as yyyymmdd without separators",,1,0,1
41194422_0_7231546114369966811.tar.gz,Country,1,rank,,1,,
41194422_0_7231546114369966811.tar.gz,Country,2,population,,1,,
41194422_1_1172256090552737974.tar.gz,Country,3,population estimate rank,,1,,
41194422_1_1172256090552737974.tar.gz,Country,2,population,,1,,
41336118_0_4331895026409635103.tar.gz,Company,0,sales in bil,,1,0,1
41336118_0_4331895026409635103.tar.gz,Company,0,profits bil,,1,0,1
41336118_0_4331895026409635103.tar.gz,Company,0,assets,,1,0,1
41336118_0_4331895026409635103.tar.gz,Company,0,market value,,1,0,1
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,1,0,1
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,1,0,1
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,1,0,1
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,1,0,1
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,1,0,1
41648740_0_6959523681065295632.tar.gz,Country,0,Spanish exam prices,,1,0,1
41819807_0_3139249984404131679.tar.gz,Lake,7,area,,1,,
41839679_0_3009344178474568371.tar.gz,Monarch,0,no idea,"I tried to match a couple of the subjects, they are either not in dbpedia or they don't have a property that matches",0,0,0
42764224_0_515744189130384109.tar.gz,PoliticalParty,0,no idea,,0,0,0
42764224_0_515744189130384109.tar.gz,PoliticalParty,0,no idea,,0,0,0
42764224_0_515744189130384109.tar.gz,PoliticalParty,0,no idea,,0,0,0
43237185_1_3636357855502246981.tar.gz,Scientist,0,year of PhD,the scientests in the file does not exists in wikipedia,1,0,1
43469354_0_6029017163991310319.tar.gz,City,0,world rank,,0,0,0
43469354_0_6029017163991310319.tar.gz,City,7,city population   ,,1,,
43469354_0_6029017163991310319.tar.gz,City,4,population metro,,1,,
44005578_0_5400481538370055338.tar.gz,PoliticalParty,0,funding,,1,0,1
44005578_0_5400481538370055338.tar.gz,PoliticalParty,0,funding,,1,0,1
44005578_0_5400481538370055338.tar.gz,PoliticalParty,0,funding,,1,0,1
44206774_0_3810538885942465703.tar.gz,GolfPlayer,1,number of major wins,,1,,
44206774_0_3810538885942465703.tar.gz,GolfPlayer,6,total of wins,,1,,
44206774_0_3810538885942465703.tar.gz,GolfPlayer,0,money,,1,0,0
4444204_0_951426790527152756.tar.gz,City,0,"World rank, but no idea what is this",,0,0,0
4444204_0_951426790527152756.tar.gz,City,4,city population   ,,1,,
4444204_0_951426790527152756.tar.gz,City,2,population metro,,1,,
4501311_8_8306082458935575308.tar.gz,VideoGame,0,rank,,1,0,0
45073662_0_3179937335063201739.tar.gz,BaseballPlayer,0,rank,,1,0,0
45073662_0_3179937335063201739.tar.gz,BaseballPlayer,0,Total bases,,1,0,1
45593932_0_6869375743660252130.tar.gz,Scientist,0,year of receiving the nobel prize,,1,0,1
4730513_0_8573199053866072336.tar.gz,Scientist,0,year for the best discovery of this scientist,,1,0,1
48944826_0_2321751364268052533.tar.gz,VideoGame,0,no idea,,0,0,0
49087820_0_461228320225084868.tar.gz,Currency,1,iso number,,1,,
49772588_0_6549847739640234347.tar.gz,Country,0,catholics,,1,0,1
49772588_0_6549847739640234347.tar.gz,Country,2,population,,1,,
49772588_0_6549847739640234347.tar.gz,Country,0,doicesan,,1,0,1
49772588_0_6549847739640234347.tar.gz,Country,0,doicesan priests,,1,0,1
49772588_0_6549847739640234347.tar.gz,Country,0,religious priests,,1,0,1
49772588_0_6549847739640234347.tar.gz,Country,0,total priests,,1,0,1
49772588_0_6549847739640234347.tar.gz,Country,0,permanent deacons,,1,0,1
49772588_0_6549847739640234347.tar.gz,Country,0,male religious,,1,0,0
49772588_0_6549847739640234347.tar.gz,Country,0,female religious,,1,0,0
49772588_0_6549847739640234347.tar.gz,Country,0,parishes,,1,0,1
49801939_0_6964113429298874283.tar.gz,Mountain,3,height,,1,,
50245608_0_871275842592178099.tar.gz,Film,1,year,,1,,
50245608_0_871275842592178099.tar.gz,Film,1,length,,1,,
50270082_0_444360818941411589.tar.gz,BaseballPlayer,0,rank,,1,0,0
50270082_0_444360818941411589.tar.gz,BaseballPlayer,0,number of wins,,1,0,1
52208141_2_5171684379987586712.tar.gz,Museum,0,rang (some kind of order or sequest),,0,0,0
52208141_2_5171684379987586712.tar.gz,Museum,0,facebook fans  ,,1,0,1
52299421_0_4473286348258170200.tar.gz,Country,2,population,,1,,
52299421_0_4473286348258170200.tar.gz,Country,0,infant mortality,,1,0,1
52572391_0_8684896999787304275.tar.gz,Company,0,no idea,,0,0,0
53583534_0_503521622577229691.tar.gz,Building,0,number of floors,,1,1,1
53822652_0_5767892317858575530.tar.gz,Film,1,released,,1,,
53989675_0_8697482470743954630.tar.gz,Lake,1,area of catchment,,1,,
53989675_0_8697482470743954630.tar.gz,Lake,0,Category (no idea what is that),,0,0,0
54719588_0_8417197176086756912.tar.gz,Film,0,order from the newest to oldest,,1,0,1
54719588_0_8417197176086756912.tar.gz,Film,3,release date,,1,,
54719588_0_8417197176086756912.tar.gz,Film,1,"could be, but not sure",,1,,
54773498_0_4341462266113591159.tar.gz,Building,0,The height of the building in meters,,1,1,1
54773498_0_4341462266113591159.tar.gz,Building,0,The height of the building in feets,,1,0,1
55961337_0_6548713781034932742.tar.gz,Currency,1,ison number ,,1,,
56224555_0_3713922722778385817.tar.gz,Company,0,rank,,1,0,0
56224555_0_3713922722778385817.tar.gz,Company,0,sales in bil,,1,0,1
56224555_0_3713922722778385817.tar.gz,Company,0,profits in bil,,1,0,1
56224555_0_3713922722778385817.tar.gz,Company,0,assets in bil,,1,0,1
56224555_0_3713922722778385817.tar.gz,Company,0,market value in bil,,1,0,1
57938705_0_8737506792349461963.tar.gz,VideoGame,0,"pos, some kingd of sequence",,1,0,0
57938705_0_8737506792349461963.tar.gz,VideoGame,2,production date,,1,,
